Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
236,Leodis McKelvin,PHI,CB,13,32,11,0.0,0.0,0.0,0,16,2,0,0,1,5.0,65.5,2016
236,Dannell Ellerbe,NO,ILB,9,34,10,6.0,4.0,25.0,8,2,0,0,0,0,7.3,65.5,2016
236,Corey Nelson,DEN,OLB,16,42,23,2.0,0.0,0.0,2,5,0,0,1,0,4.1,65.5,2016
236,Trae Waynes,MIN,CB,15,41,7,1.0,0.0,0.0,0,11,3,0,0,0,4.4,65.5,2016
240,EJ Gaines,LAR,CB,11,46,10,0.0,0.0,0.0,1,7,0,1,1,0,5.9,65.0,2016
240,Karl Joseph,OAK,SS,12,44,16,1.0,0.0,0.0,0,6,1,0,1,0,5.4,65.0,2016
240,Cre'von Leblanc,CHI,CB,13,40,4,0.0,0.0,0.0,1,10,2,0,0,1,5.0,65.0,2016
243,Devon Kennard,NYG,OLB,16,38,20,5.0,1.0,8.0,5,1,0,0,1,0,4.0,64.8,2016
244,Aqib Talib,DEN,CB,13,32,11,0.0,0.0,0.0,0,12,3,0,0,1,5.0,64.5,2016
244,Tracy Porter,CHI,CB,16,45,3,0.0,0.0,0.0,0,9,2,1,0,0,4.0,64.5,2016
244,Calvin Pryor,NYJ,SS,15,43,17,4.0,0.0,0.0,0,6,0,1,0,0,4.3,64.5,2016
247,Jarvis Jones,PIT,OLB,14,30,12,3.0,1.0,4.0,5,3,1,2,2,0,4.6,64.4,2016
248,Mike Daniels,GB,DE,16,25,8,8.0,4.0,41.0,11,1,0,0,1,0,4.0,64.1,2016
248,Timmy Jernigan,BAL,DT,16,16,15,9.0,5.0,36.0,11,3,1,0,1,0,4.0,64.1,2016
250,Duke Ihenacho,WAS,FS,15,53,10,3.0,0.0,0.0,1,2,0,0,0,0,4.3,64.0,2016
250,Clayton Geathers,IND,SS,9,49,9,2.5,0.0,0.0,0,5,0,1,0,0,7.1,64.0,2016
252,Adrian Clayborn,ATL,DE,13,19,3,8.0,4.5,29.0,14,0,0,0,1,1,4.9,63.4,2016
253,Connor Barwin,PHI,OLB,16,20,14,6.0,5.0,52.0,10,2,0,1,0,0,4.0,63.2,2016
254,Patrick Peterson,ARI,CB,16,44,6,1.0,0.0,0.0,0,6,3,0,0,0,3.9,63.0,2016
254,Jalen Mills,PHI,CB,16,51,10,0.0,0.0,0.0,0,7,0,0,0,0,3.9,63.0,2016
256,Joe Haden,CLE,CB,13,37,11,0.0,0.0,0.0,0,11,3,0,0,0,4.8,62.5,2016
257,Kony Ealy,CAR,DE,16,18,13,6.5,5.0,23.0,7,3,1,2,0,0,3.9,62.3,2016
258,Daimion Stafford,TEN,SS,15,42,10,2.0,1.0,6.0,2,2,1,0,1,0,4.1,61.6,2016
259,Rafael Bush,DET,DB,16,32,17,2.0,1.0,9.0,1,3,2,0,0,1,3.8,61.4,2016
260,Kyle Emanuel,LAC,OLB,16,34,22,4.0,0.5,2.0,4,1,0,1,1,0,3.8,61.2,2016
261,Dante Fowler Jr,JAX,OLB,16,23,9,7.0,4.0,25.5,11,5,0,0,0,0,3.8,61.05,2016
