Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
266,Akeem Jordan,KC,ILB,16,51,12,3,0,0,0,0,0,2,0,0,4.1,66
266,Ropati Pitoitua,TEN,DE,16,34,10,7,4,30,5,4,0,0,0,0,4.1,66
266,Shareece Wright,LAC,CB,13,52,2,1,0,0,0,9,1,0,0,0,5.1,66
266,Jeff Heath,DAL,SS,16,40,12,1,0,0,1,3,1,1,1,1,4.1,66
270,Erik Walden,IND,OLB,15,26,19,5,3,23,10,3,0,1,1,0,4.4,65.8
271,Wallace Gilberry,CIN,DE,16,18,6,6,7.5,56,13,2,0,1,0,0,4.1,65.6
272,Kareem Jackson,HOU,CB,14,51,5,1,0,0,0,8,0,0,1,0,4.7,65.5
273,Randy Starks,MIA,DE,16,35,12,6,2.5,12,5,1,0,1,1,0,4.1,65.2
274,Harrison Smith,MIN,FS,8,46,10,2,0,0,0,3,2,0,1,0,8.1,65
275,Pat Sims,OAK,NT,16,40,13,8,2,14,5,0,0,0,0,0,4.1,64.9
276,Thomas Decoud,ATL,FS,15,42,21,1,0,0,0,2,0,0,1,1,4.3,64.5
276,Richard Marshall,LAC,CB,16,49,13,0,0,0,0,6,0,0,1,0,4,64.5
276,Charles Tillman,CHI,CB,8,33,9,2,0,0,0,7,3,3,0,0,8.1,64.5
279,Jabaal Sheard,CLE,DE,13,19,17,5,5.5,18,9,4,0,1,1,0,4.9,64.3
279,Shiloh Keo,HOU,FS,16,49,11,0,0,0,0,6,1,0,0,0,4,64.3
281,Arthur Jones,BAL,DE,14,27,25,8,4,27,6,0,0,0,0,0,4.6,64.2
282,Alan Ball,JAX,CB,15,41,6,0,0,0,0,14,2,0,0,0,4.3,64
282,Rashad Johnson,ARI,FS,13,48,4,0,0,0,0,5,3,0,0,0,4.9,64
282,Jacquian Williams,NYG,OLB,16,35,16,5,0,0,1,9,0,0,2,0,4,64
285,Chris Owens,MIA,CB,13,40,11,1,2.5,14,2,3,0,1,1,0,4.9,63.9
286,Damon Harrison,NYJ,DT,16,36,30,7,1,7,1,2,0,0,0,0,4,63.7
287,Rashean Mathis,DET,CB,15,44,3,2,0,0,0,16,0,0,0,0,4.2,63.5
288,Kendrick Lewis,KC,SS,16,46,10,3,0,0,2,4,1,0,0,0,3.9,63
289,TJ McDonald,LAR,FS,10,44,8,4,1,9,1,4,1,0,0,0,6.3,62.9
290,Koa Misi,MIA,OLB,15,34,20,6,2,16,4,3,0,0,0,0,4.2,62.6
291,Melvin White,CAR,CB,15,38,7,1,0,0,0,5,2,1,0,1,4.2,62.5
292,Jon Bostic,CHI,ILB,16,42,12,4,1,3,1,1,1,0,1,0,3.9,62.3
293,Manti Te'o,LAC,ILB,13,42,20,6,0,0,0,4,0,0,0,0,4.8,62
294,Dominique Rodgers-Cromartie,DEN,CB,15,25,6,3,0,0,0,15,3,0,0,1,4.1,61
294,Antonio Smith,HOU,DE,15,22,7,8,4.5,25,12,1,0,1,0,0,4.1,61
296,Lamarr Woodley,PIT,OLB,11,20,16,4,5,29,9,1,0,1,1,0,5.5,60.9
297,Chris Crocker,CIN,SS,12,27,9,5,1.5,11,1,7,2,0,0,1,5,60.6
298,Robert Ayers Jr,DEN,DE,15,23,6,7,5.5,35,10,0,0,1,0,0,4,60.5
299,Pat Angerer,IND,ILB,11,37,26,2,0.5,4,2,2,1,0,0,0,5.5,60.4
300,Fletcher Cox,PHI,DT,16,29,12,4,3,21,7,3,0,0,1,0,3.8,60.1
