Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
46,Early Doucet,ARI,WR,16,97,54,55.7,689,5,70,7.1,12.8,0,0,0,0,1,0,6.2,98.9
47,Jerome Simpson,CIN,WR,16,105,50,47.6,725,4,84,6.9,14.5,0,0,0,0,0,0,6,96.5
48,David Nelson,BUF,WR,16,97,61,62.9,658,5,35,6.8,10.8,0,0,0,0,0,0,6,95.8
49,Steve Breaston,KC,WR,16,98,61,62.2,785,2,43,8,12.9,1,25,25,0,0,0,5.8,93
50,Mike Williams,TB,WR,16,124,65,52.4,771,3,42,6.2,11.9,1,3,3,0,2,2,5.7,91.4
51,Damian Williams,TEN,WR,15,94,45,47.9,592,5,54,6.3,13.2,0,0,0,0,0,0,5.9,89.2
52,Greg Little,CLE,WR,16,120,61,50.8,709,2,76,5.9,11.6,3,15,5,0,0,0,5.3,84.4
53,Johnny Knox,CHI,WR,14,69,37,53.6,727,2,81,10.5,19.6,0,0,0,0,1,1,5.9,82.7
54,Santana Moss,WAS,WR,12,95,46,48.4,584,4,49,6.1,12.7,0,0,0,0,0,0,6.9,82.4
55,Donald Driver,GB,WR,16,56,37,66.1,445,6,35,7.9,12,0,0,0,0,0,0,5,80.5
56,Demaryius Thomas,DEN,WR,11,70,32,45.7,551,4,47,7.9,17.2,1,5,5,0,0,0,7.2,79.6
57,Brandon LaFell,CAR,WR,16,56,36,64.3,613,3,91,10.9,17,0,0,0,0,0,0,5,79.3
58,Mario Manningham,NYG,WR,12,77,39,50.6,523,4,47,6.8,13.4,0,0,0,0,0,0,6.4,76.3
58,Joshua Cribbs,CLE,WR,16,67,41,61.2,518,4,45,7.7,12.6,7,25,3.6,0,3,1,4.8,76.3
60,Dezmon Briscoe,TB,WR,16,51,35,68.6,387,6,46,7.6,11.1,0,0,0,0,0,0,4.7,74.7
61,Andre Roberts,ARI,WR,16,98,51,52,586,2,45,6,11.5,3,27,9,0,1,0,4.6,73.3
62,Jason Avant,PHI,WR,16,81,52,64.2,679,1,35,8.4,13.1,0,0,0,0,2,2,4.4,69.9
63,Davone Bess,MIA,WR,16,85,51,60,537,3,41,6.3,10.5,2,9,4.5,0,5,2,4.3,68.6
64,Preston Parker,TB,WR,16,64,40,62.5,554,3,51,8.7,13.8,1,-3,-3,0,8,3,4.2,67.1
65,Kevin Walter,HOU,WR,15,59,39,66.1,474,3,41,8,12.2,0,0,0,0,0,0,4.4,65.4
66,Jacoby Jones,HOU,WR,16,65,31,47.7,512,2,80,7.9,16.5,4,17,4.2,0,0,0,4.1,64.9
67,Devery Henderson,NO,WR,16,50,32,64,503,2,79,10.1,15.7,1,9,9,0,0,0,4,63.2
68,Sidney Rice,SEA,WR,9,57,32,56.1,484,2,52,8.5,15.1,2,3,1.5,0,1,0,7,62.9
69,Roy Williams,CHI,WR,15,63,37,58.7,507,2,25,8,13.7,0,0,0,0,0,0,4.2,62.7
70,Andre Johnson,HOU,WR,7,51,33,64.7,492,2,50,9.6,14.9,1,8,8,0,0,0,8.9,62
71,Brian Hartline,MIA,WR,16,66,35,53,549,1,41,8.3,15.7,1,9,9,0,0,0,3.9,61.8
72,Arrelious Benn,TB,WR,14,51,30,58.8,441,3,65,8.6,14.7,6,-7,-1.2,0,0,0,4.4,61.4
73,Michael Jenkins,MIN,WR,11,55,38,69.1,466,3,72,8.5,12.3,0,0,0,0,2,2,5.5,60.6
74,Golden Tate,SEA,WR,16,58,35,60.3,382,3,33,6.6,10.9,5,14,2.8,0,1,0,3.6,57.6
